timestamp_iso,mode,front_distance_cm,left_distance_cm,right_distance_cm,executed_motion,executed_speed,next_motion,next_speed,notes,stuck_triggered,queue_len
2025-11-12T16:11:46,AUTO,52.74,52.48,49.13,stop,0.00,forward,0.40,clear,0,0
2025-11-12T16:11:47,AUTO,41.07,26.24,45.88,forward,0.40,forward,0.40,clear,0,0
2025-11-12T16:11:47,AUTO,3.60,46.82,43.99,forward,0.40,right,0.20,obstacle@3.6cm,0,0
2025-11-12T16:11:48,AUTO,3.60,7.20,44.08,right,0.20,right,0.20,obstacle@3.6cm,0,0
2025-11-12T16:11:49,AUTO,3.60,7.20,44.08,right,0.20,right,0.20,obstacle@3.6cm,0,0
2025-11-12T16:11:49,AUTO,3.60,7.20,44.16,right,0.20,backward,0.20,STUCK: Δ=0.0cm/4steps -> back 3 + left 1,1,2
2025-11-12T16:11:50,AUTO,3.60,7.20,44.08,backward,0.20,backward,0.20,,0,2
2025-11-12T16:11:51,AUTO,3.60,7.20,44.08,backward,0.20,backward,0.20,,0,2
2025-11-12T16:11:51,AUTO,3.60,7.20,44.08,backward,0.20,left,0.20,,0,1
2025-11-12T16:11:52,AUTO,3.60,7.20,44.16,left,0.20,left,0.20,obstacle@3.6cm,0,0
2025-11-12T16:11:53,AUTO,3.60,7.20,44.16,left,0.20,right,0.20,obstacle@3.6cm,0,0
2025-11-12T16:11:53,AUTO,3.60,7.20,44.16,right,0.20,right,0.20,obstacle@3.6cm,0,0
2025-11-12T16:11:54,AUTO,3.60,7.20,44.08,right,0.20,left,0.20,obstacle@3.6cm,0,0
2025-11-12T16:11:54,AUTO,3.60,7.20,44.08,left,0.20,backward,0.20,STUCK: Δ=0.0cm/4steps -> back 3 + left 1,1,2
2025-11-12T16:11:55,AUTO,3.60,8.49,44.08,backward,0.20,backward,0.20,,0,2
2025-11-12T16:11:56,AUTO,3.60,8.58,44.16,backward,0.20,backward,0.20,,0,2
2025-11-12T16:11:56,AUTO,3.60,8.49,45.88,backward,0.20,left,0.20,,0,1
2025-11-12T16:11:57,AUTO,3.60,7.20,44.08,left,0.20,right,0.20,obstacle@3.6cm,0,0
2025-11-12T16:11:58,AUTO,3.60,8.49,44.08,right,0.20,left,0.20,obstacle@3.6cm,0,0
2025-11-12T16:11:58,AUTO,3.60,7.20,44.14,left,0.20,left,0.45,obstacle@3.6cm,0,0
2025-11-12T16:11:59,AUTO,3.60,64.57,95.35,left,0.45,right,0.45,obstacle@3.6cm,0,0
2025-11-12T16:11:59,AUTO,3.60,9.60,44.50,right,0.45,backward,0.45,STUCK: Δ=0.0cm/4steps -> back 3 + right 1,1,2
2025-11-12T16:12:00,AUTO,3.60,47.25,43.75,backward,0.45,backward,0.45,,0,2
2025-11-12T16:12:01,AUTO,3.60,49.56,51.96,backward,0.45,backward,0.45,,0,2
2025-11-12T16:12:01,AUTO,3.60,43.05,57.78,backward,0.45,right,0.45,,0,1
2025-11-12T16:12:02,AUTO,3.60,28.47,24.27,right,0.45,right,0.45,obstacle@3.6cm,0,0
2025-11-12T16:12:03,AUTO,3.60,28.81,52.48,right,0.45,right,0.45,obstacle@3.6cm,0,0
2025-11-12T16:12:03,AUTO,3.60,79.32,56.51,right,0.45,right,0.45,obstacle@3.6cm,0,0
2025-11-12T16:12:04,AUTO,3.60,27.95,58.14,right,0.45,left,0.45,obstacle@3.6cm,0,0
2025-11-12T16:12:05,AUTO,3.60,76.06,56.68,left,0.45,backward,0.45,STUCK: Δ=0.0cm/4steps -> back 3 + left 1,1,2
2025-11-12T16:12:05,AUTO,3.60,81.63,49.56,backward,0.45,backward,0.45,,0,2
2025-11-12T16:12:06,AUTO,3.60,82.32,43.56,backward,0.45,backward,0.45,,0,2
2025-11-12T16:12:07,AUTO,3.60,82.32,43.54,backward,0.45,left,0.45,,0,1
2025-11-12T16:12:07,AUTO,3.60,10.20,39.19,left,0.45,right,0.45,obstacle@3.6cm,0,0
2025-11-12T16:12:08,AUTO,3.60,82.75,42.88,right,0.45,right,0.45,obstacle@3.6cm,0,0
2025-11-12T16:12:08,AUTO,3.60,42.96,42.70,right,0.45,left,0.45,obstacle@3.6cm,0,0
2025-11-12T16:12:09,AUTO,3.60,83.01,47.16,left,0.45,left,0.45,obstacle@3.6cm,0,0
2025-11-12T16:12:10,AUTO,3.60,40.97,69.89,left,0.45,backward,0.45,STUCK: Δ=0.0cm/4steps -> back 3 + right 1,1,2
2025-11-12T16:12:10,AUTO,3.60,41.67,34.47,backward,0.45,backward,0.45,,0,2
